V.T.R,Plant,Treatment,Repeat,Cultivar
12.3.1,12,3,1,Biryuza
2.3.2,2,3,2,Yunona
24.3.2,24,3,2,Khar'kovskaya 32
30.2.1,30,2,1,Krupinka
10.2.1,10,2,1,Moskovskaya 39
5.2.2,5,2,2,Grom
20.3.1,20,3,1,Aist
23.3.1,23,3,1,Andromeda
4.3.1,4,3,1,Ehtnos
24.2.2,24,2,2,Khar'kovskaya 32
7.2.1,7,2,1,Altigo
18.2.2,18,2,2,Krasota
27.1.2,27,1,2,Kristall 2
35.1.2,35,1,2,Venec
14.1.2,14,1,2,Doka
21.2.2,21,2,2,Bylina
14.2.1,14,2,1,Doka
9.2.2,9,2,2,Fisht
13.1.2,13,1,2,Zimtra
14.1.1,14,1,1,Doka
5.1.2,5,1,2,Grom
20.1.1,20,1,1,Aist
16.1.1,16,1,1,Pallada
10.1.2,10,1,2,Moskovskaya 39
19.2.1,19,2,1,Karavaj
25.2.2,25,2,2,Afina
4.2.1,4,2,1,Ehtnos
16.1.2,16,1,2,Pallada
27.1.1,27,1,1,Kristall 2
21.1.1,21,1,1,Bylina
13.3.2,13,3,2,Zimtra
18.3.1,18,3,1,Krasota
26.3.2,26,3,2,Rodur
9.2.1,9,2,1,Fisht
35.2.1,35,2,1,Venec
20.2.2,20,2,2,Aist
31.3.1,31,3,1,Lazurit
5.3.2,5,3,2,Grom
8.3.2,8,3,2,Pobeda50
31.2.1,31,2,1,Lazurit
2.2.2,2,2,2,Yunona
11.2.2,11,2,2,Knyazhna
9.3.2,9,3,2,Fisht
6.3.2,6,3,2,Tanya
23.3.2,23,3,2,Andromeda
8.1.2,8,1,2,Pobeda50
34.1.1,34,1,1,Khleborob
22.1.1,22,1,1,Azotofiksiruyushchaya
8.1.1,8,1,1,Pobeda50
13.1.1,13,1,1,Zimtra
25.1.2,25,1,2,Afina
24.2.1,24,2,1,Khar'kovskaya 32
28.2.1,28,2,1,Uslada
32.2.1,32,2,1,Iliya
29.2.2,29,2,2,Kurant
15.2.1,15,2,1,Timiryazevskaya 150
11.2.1,11,2,1,Knyazhna
19.1.1,19,1,1,Karavaj
15.1.2,15,1,2,Timiryazevskaya 150
30.1.2,30,1,2,Krupinka
12.2.2,12,2,2,Biryuza
28.2.2,28,2,2,Uslada
10.2.2,10,2,2,Moskovskaya 39
2.1.2,2,1,2,Yunona
35.1.1,35,1,1,Venec
1.1.1,1,1,1,Vassa
25.3.2,25,3,2,Afina
17.3.2,17,3,2,Velena
1.3.2,1,3,2,Vassa
1.1.2,1,1,2,Vassa
10.1.1,10,1,1,Moskovskaya 39
28.1.1,28,1,1,Uslada
16.3.1,16,3,1,Pallada
14.3.2,14,3,2,Doka
31.3.2,31,3,2,Lazurit
27.3.1,27,3,1,Kristall 2
22.3.2,22,3,2,Azotofiksiruyushchaya
9.3.1,9,3,1,Fisht
3.3.2,3,3,2,Kavalerka
24.3.1,24,3,1,Khar'kovskaya 32
28.3.1,28,3,1,Uslada
8.3.1,8,3,1,Pobeda50
29.3.1,29,3,1,Kurant
21.3.2,21,3,2,Bylina
16.2.2,16,2,2,Pallada
15.2.2,15,2,2,Timiryazevskaya 150
5.2.1,5,2,1,Grom
8.2.1,8,2,1,Pobeda50
29.2.1,29,2,1,Kurant
3.2.2,3,2,2,Kavalerka
23.2.1,23,2,1,Andromeda
21.2.1,21,2,1,Bylina
22.2.1,22,2,1,Azotofiksiruyushchaya
20.2.1,20,2,1,Aist
33.2.2,33,2,2,Tikhon
27.2.1,27,2,1,Kristall 2
20.3.2,20,3,2,Aist
32.3.1,32,3,1,Iliya
1.3.1,1,3,1,Vassa
18.1.1,18,1,1,Krasota
31.1.1,31,1,1,Lazurit
33.1.2,33,1,2,Tikhon
26.2.2,26,2,2,Rodur
6.2.2,6,2,2,Tanya
17.2.1,17,2,1,Velena
4.3.2,4,3,2,Ehtnos
27.3.2,27,3,2,Kristall 2
11.3.1,11,3,1,Knyazhna
35.2.2,35,2,2,Venec
19.2.2,19,2,2,Karavaj
16.2.1,16,2,1,Pallada
3.3.1,3,3,1,Kavalerka
19.3.2,19,3,2,Karavaj
35.3.2,35,3,2,Venec
30.3.1,30,3,1,Krupinka
7.3.1,7,3,1,Altigo
15.3.1,15,3,1,Timiryazevskaya 150
4.2.2,4,2,2,Ehtnos
14.2.2,14,2,2,Doka
23.2.2,23,2,2,Andromeda
23.1.2,23,1,2,Andromeda
25.1.1,25,1,1,Afina
31.1.2,31,1,2,Lazurit
34.2.2,34,2,2,Khleborob
6.2.1,6,2,1,Tanya
22.2.2,22,2,2,Azotofiksiruyushchaya
28.1.2,28,1,2,Uslada
9.1.1,9,1,1,Fisht
6.1.2,6,1,2,Tanya
7.2.2,7,2,2,Altigo
18.2.1,18,2,1,Krasota
8.2.2,8,2,2,Pobeda50
24.1.2,24,1,2,Khar'kovskaya 32
17.1.2,17,1,2,Velena
30.1.1,30,1,1,Krupinka
25.3.1,25,3,1,Afina
10.3.2,10,3,2,Moskovskaya 39
14.3.1,14,3,1,Doka
10.3.1,10,3,1,Moskovskaya 39
19.3.1,19,3,1,Karavaj
35.3.1,35,3,1,Venec
4.1.2,4,1,2,Ehtnos
22.1.2,22,1,2,Azotofiksiruyushchaya
32.1.1,32,1,1,Iliya
3.2.1,3,2,1,Kavalerka
33.2.1,33,2,1,Tikhon
1.2.1,1,2,1,Vassa
11.1.2,11,1,2,Knyazhna
17.1.1,17,1,1,Velena
26.1.1,26,1,1,Rodur
17.2.2,17,2,2,Velena
1.2.2,1,2,2,Vassa
12.2.1,12,2,1,Biryuza
34.3.1,34,3,1,Khleborob
13.3.1,13,3,1,Zimtra
32.3.2,32,3,2,Iliya
29.1.1,29,1,1,Kurant
11.1.1,11,1,1,Knyazhna
29.1.2,29,1,2,Kurant
13.2.2,13,2,2,Zimtra
13.2.1,13,2,1,Zimtra
33.3.1,33,3,1,Tikhon
2.2.1,2,2,1,Yunona
26.2.1,26,2,1,Rodur
25.2.1,25,2,1,Afina
12.1.2,12,1,2,Biryuza
33.1.1,33,1,1,Tikhon
18.1.2,18,1,2,Krasota
9.1.2,9,1,2,Fisht
27.2.2,27,2,2,Kristall 2
34.2.1,34,2,1,Khleborob
34.3.2,34,3,2,Khleborob
17.3.1,17,3,1,Velena
12.3.2,12,3,2,Biryuza
26.3.1,26,3,1,Rodur
2.3.1,2,3,1,Yunona
18.3.2,18,3,2,Krasota
7.1.1,7,1,1,Altigo
26.1.2,26,1,2,Rodur
6.1.1,6,1,1,Tanya
15.3.2,15,3,2,Timiryazevskaya 150
29.3.2,29,3,2,Kurant
21.3.1,21,3,1,Bylina
5.3.1,5,3,1,Grom
11.3.2,11,3,2,Knyazhna
30.3.2,30,3,2,Krupinka
4.1.1,4,1,1,Ehtnos
15.1.1,15,1,1,Timiryazevskaya 150
20.1.2,20,1,2,Aist
22.3.1,22,3,1,Azotofiksiruyushchaya
7.3.2,7,3,2,Altigo
16.3.2,16,3,2,Pallada
7.1.2,7,1,2,Altigo
21.1.2,21,1,2,Bylina
12.1.1,12,1,1,Biryuza
34.1.2,34,1,2,Khleborob
23.1.1,23,1,1,Andromeda
3.1.2,3,1,2,Kavalerka
32.2.2,32,2,2,Iliya
30.2.2,30,2,2,Krupinka
31.2.2,31,2,2,Lazurit
24.1.1,24,1,1,Khar'kovskaya 32
19.1.2,19,1,2,Karavaj
32.1.2,32,1,2,Iliya
33.3.2,33,3,2,Tikhon
28.3.2,28,3,2,Uslada
6.3.1,6,3,1,Tanya
5.1.1,5,1,1,Grom
2.1.1,2,1,1,Yunona
3.1.1,3,1,1,Kavalerka
